ID,Longitude,Latitude,Altitude,North,East,Height,Yaw,Roll,Pitch
287984,118.868813,32.016861,10.26,-1717197.332,3700039.249,1026,0.924937,0.018588,-0.035291
287985,118.868811,32.016862,10.25,-1717185.087,3700023.231,1025,0.924833,0.018378,-0.034592
287986,118.868809,32.016864,10.25,-1717171.729,3700007.212,1025,0.92471,0.018291,-0.034051
287987,118.868807,32.016865,10.25,-1717159.484,3699991.193,1025,0.924571,0.018274,-0.033406
287988,118.868806,32.016866,10.25,-1717146.125,3699976.117,1025,0.924309,0.018221,-0.03283
287989,118.868804,32.016867,10.26,-1717132.767,3699961.983,1026,0.924169,0.018151,-0.032271
287990,118.868803,32.016868,10.26,-1717120.522,3699947.848,1026,0.924029,0.018221,-0.031817
287991,118.868801,32.016869,10.26,-1717107.163,3699933.714,1026,0.923855,0.018326,-0.031259
287992,118.8688,32.016871,10.27,-1717093.805,3699918.638,1027,0.923698,0.018378,-0.03091
287993,118.868798,32.016872,10.27,-1717080.447,3699904.504,1027,0.923541,0.018343,-0.030596
287994,118.868797,32.016873,10.28,-1717067.088,3699890.37,1028,0.923402,0.018239,-0.030561
287995,118.868795,32.016874,10.28,-1717054.843,3699876.235,1028,0.923227,0.018082,-0.030491
287996,118.868794,32.016875,10.28,-1717041.485,3699861.159,1028,0.923035,0.017855,-0.030613
287997,118.868794,32.016875,10.28,-1717041.485,3699861.159,1028,0.923035,0.017855,-0.030613
287998,118.868792,32.016877,10.29,-1717028.127,3699847.025,1029,0.922878,0.017383,-0.030927
287999,118.868791,32.016878,10.29,-1717014.768,3699832.891,1029,0.922738,0.017052,-0.031102
288000,118.868789,32.016879,10.3,-1717001.41,3699818.756,1030,0.922528,0.016808,-0.031468
288001,118.868787,32.01688,10.3,-1716989.165,3699803.68,1030,0.922354,0.016511,-0.032166
288002,118.868786,32.016881,10.3,-1716976.92,3699787.661,1030,0.922214,0.016179,-0.032795
288003,118.868784,32.016882,10.3,-1716963.561,3699771.643,1030,0.922022,0.016232,-0.033336
288004,118.868782,32.016883,10.3,-1716951.316,3699754.682,1030,0.921813,0.016284,-0.034069
288005,118.868781,32.016885,10.3,-1716939.071,3699738.663,1030,0.921621,0.016249,-0.034767
